Tópico,Palavras,Pesos
0,"brasil, acima, brasileiro, vamos, povo, todos, tudo, brasileiros, liberdade, deus","[0.0389, 0.0168, 0.0161, 0.0131, 0.0124, 0.0113, 0.01, 0.0089, 0.0088, 0.0087]"
1,"vc, vai, deus, inveja, pensou, so, ja, kk, falar, nao","[0.0222, 0.0172, 0.0163, 0.0162, 0.016, 0.016, 0.0137, 0.0128, 0.0124, 0.0124]"
2,"fe, vamos, confiar, deus, vai, orar, tudo, controle, confiem, homem","[0.0302, 0.0224, 0.0224, 0.0196, 0.0152, 0.0151, 0.0143, 0.0138, 0.0129, 0.0128]"
3,"vitoria, guerra, batalha, vencer, espiritual, luta, armadas, inimigo, vamos, lutar","[0.0301, 0.0278, 0.0211, 0.0192, 0.0164, 0.016, 0.0153, 0.015, 0.015, 0.0144]"
4,"conservadores, conservador, conservadora, grupos, conservadorismo, pra, pessoal, petistas, dugin, esquerdista","[0.0807, 0.0446, 0.0268, 0.0215, 0.0187, 0.0161, 0.0149, 0.014, 0.0135, 0.0135]"
5,"misericordia, luto, justica, pais, deus, cartacapital, suicidada, nacao, denunciou, esquema","[0.1573, 0.0427, 0.0286, 0.0268, 0.0181, 0.0174, 0.0174, 0.0169, 0.0156, 0.0142]"
6,"unido, reino, alexeconomia, email, fonte, activetrades, truss, inflacao, europa, primeiraministra","[0.0714, 0.0565, 0.0509, 0.0415, 0.0394, 0.0349, 0.0314, 0.0298, 0.0262, 0.0252]"
7,"satanas, lucifer, luciferianismo, satanismo, demonio, demonios, satanistas, diabo, espiritos, mundo","[0.0338, 0.029, 0.0243, 0.0216, 0.0216, 0.0209, 0.0154, 0.0148, 0.0125, 0.0124]"
8,"votar, urna, democracia, vc, irem, preencham, forme, pressa, pra, chorar","[0.0684, 0.0269, 0.0184, 0.0171, 0.0169, 0.0164, 0.0164, 0.0159, 0.0156, 0.0152]"
9,"igreja, igrejas, catolicos, evangelicos, falsos, catolica, cristaos, pastores, profetas, cristo","[0.0485, 0.029, 0.022, 0.0183, 0.018, 0.0178, 0.0163, 0.0158, 0.0129, 0.0128]"
10,"jesus, cristo, olho, julgamento, tou, to, pecado, viga, palha, fe","[0.0525, 0.0266, 0.0233, 0.02, 0.0157, 0.0151, 0.0137, 0.013, 0.013, 0.0127]"
11,"amem, ti, nome, senhor, espirito, pai, luz, gratidao, alegria, santo","[0.0291, 0.0283, 0.0258, 0.0241, 0.023, 0.0218, 0.0209, 0.0197, 0.0173, 0.0154]"
12,"pais, filhos, bebes, propensos, netos, vamos, nascidos, 1o, jovens, proteja","[0.0828, 0.0483, 0.0297, 0.0265, 0.0231, 0.019, 0.0182, 0.0168, 0.0168, 0.0159]"
13,"lucro, abencoe, administrador, acabei, sorriso, apoiando, recebi, admin, feliz, rosto","[0.07, 0.0401, 0.0386, 0.0372, 0.0356, 0.0356, 0.0354, 0.0351, 0.0348, 0.0342]"
14,"kwaivideo, youtu, be, voce, cultural, missa, abencoe, padre, adriana, santa","[0.0396, 0.0289, 0.0286, 0.0212, 0.021, 0.0202, 0.0186, 0.0176, 0.0145, 0.0143]"
15,"youtube, assista, youtu, be, respondendo, conservador, like, www, video, vivo","[0.1431, 0.1379, 0.0778, 0.077, 0.0378, 0.033, 0.0316, 0.0256, 0.023, 0.0208]"
16,"groups, welcome, managing, tool, professional, telegram, david, user, davidson, williams","[0.3155, 0.3155, 0.3155, 0.3155, 0.3155, 0.2643, 0.2578, 0.1127, 0.0195, 0.0114]"
17,"boa, noite, excelente, estaremos, goncalo, abencoe, quiser, bom, dia, 00","[0.0574, 0.0535, 0.0505, 0.0434, 0.0404, 0.0391, 0.0367, 0.0362, 0.0356, 0.0311]"
18,"youtube, esqueca, leia, salva, biblia, apareceram, inscrever, medicina, melhores, nunca","[0.1625, 0.1503, 0.1477, 0.1456, 0.1119, 0.0903, 0.0882, 0.0875, 0.0829, 0.0799]"
19,"vacina, covid19, vacinas, vacinados, unido, www, estudo, moderna, reino, covid","[0.0656, 0.0382, 0.0363, 0.0301, 0.0252, 0.0249, 0.024, 0.0238, 0.0225, 0.0206]"
20,"news, fake, jornalista, orion, desequilibrado, logan, qanon, lara, controle, respeitavel","[0.0561, 0.0516, 0.0338, 0.0324, 0.0255, 0.0255, 0.0249, 0.0238, 0.0231, 0.0219]"
21,"nome, jesus, cristo, vitoria, vai, ipc, virar, venceremos, gostei, amanha","[0.1696, 0.0979, 0.0661, 0.0404, 0.0374, 0.0265, 0.0259, 0.0257, 0.0249, 0.0233]"
22,"negocios, confiar, continue, obrigado, venha, feedback, fazendo, desejo, parabens, mim","[0.1987, 0.1639, 0.1588, 0.156, 0.1483, 0.1466, 0.1423, 0.1423, 0.1342, 0.0944]"
23,"derci, amo, video, jesus, , , , , , ","[0.887, 0.767, 0.5376, 0.2056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,"mostrado, obrigado, serve, antonio, garantido, precisei, oliveira, quero, user, abencoe","[0.1138, 0.1084, 0.1039, 0.0927, 0.0918, 0.0909, 0.0785, 0.0748, 0.0732, 0.0723]"
25,"lucro, encorajamento, investir, orientacao, posso, escolha, acreditar, mgethan, algunos, sido","[0.0618, 0.0545, 0.0539, 0.0496, 0.0495, 0.0494, 0.0491, 0.0481, 0.0467, 0.046]"
26,"brasil, rede, acima, social, facebook, passando, cima, whatsapp, brasileiros, seguidores","[0.0579, 0.0417, 0.0402, 0.0387, 0.0355, 0.0352, 0.0338, 0.0322, 0.0295, 0.0289]"
27,"instagram, brasilsemmedo, perfil, jornal, 260, briguet, previo, silvio, grimaldo, apoie","[0.2767, 0.0945, 0.0802, 0.078, 0.0539, 0.0539, 0.0539, 0.0539, 0.0539, 0.0528]"
28,"russia, ucrania, otan, russos, putin, russo, eua, paises, territorios, russa","[0.0797, 0.0619, 0.0353, 0.0338, 0.0334, 0.031, 0.0275, 0.0262, 0.0228, 0.0206]"
29,"video, viviane, princival, contatos, participacao, estreia, carvalho, kuster, bernardo, olavo","[0.2432, 0.1422, 0.1422, 0.1389, 0.1389, 0.129, 0.1252, 0.1217, 0.1182, 0.1141]"
30,"escrito, sagrada, ceus, palavra, biblia, terra, filho, arvore, senhor, corintios","[0.1271, 0.075, 0.0573, 0.0511, 0.0504, 0.0438, 0.0262, 0.0255, 0.0244, 0.024]"
31,"judeus, holocausto, judeu, america, crime, gentio, provincias, sionistas, pagamento, gentios","[0.1206, 0.0435, 0.0335, 0.019, 0.0179, 0.0174, 0.0174, 0.0156, 0.0151, 0.014]"
32,"parana, alves, 29, ativar, conectese, bot, feedback, comecar, ganhar, mateus","[0.2173, 0.2063, 0.1923, 0.162, 0.1579, 0.1545, 0.143, 0.1424, 0.1421, 0.1341]"
33,"atingir, bemsucedido, capaz, objetivos, futuro, hoje, ontem, alcancar, dia, novo","[0.0813, 0.0745, 0.0713, 0.0689, 0.0625, 0.0606, 0.0599, 0.0591, 0.0582, 0.0541]"
34,"video, 1964, respaldo, repete, ffaa, marcha, movimento, historia, deu, liberdade","[0.2814, 0.2333, 0.2269, 0.2193, 0.2023, 0.1941, 0.156, 0.1446, 0.1254, 0.1104]"
35,"alcancar, objetivos, futuro, hoje, ontem, novo, impediu, sucedido, deseja, conseguiu","[0.0985, 0.0751, 0.067, 0.0667, 0.0663, 0.059, 0.0561, 0.0547, 0.0509, 0.0508]"
36,"policia, bandidos, bandido, policiais, roberto, jefferson, crime, policias, federal, defende","[0.0677, 0.0362, 0.0356, 0.0349, 0.0343, 0.0332, 0.0329, 0.0306, 0.027, 0.0231]"
37,"guaruja, valente, brazil, ativar, 24, davi, bot, conectese, feedback, comecar","[0.2029, 0.196, 0.1674, 0.152, 0.1513, 0.1489, 0.1451, 0.144, 0.1342, 0.1337]"
38,"membros, receber, acabei, feliz, empresa, ola, lucro, noite, pix, manha","[0.1946, 0.1612, 0.1566, 0.1362, 0.1258, 0.1114, 0.0945, 0.0848, 0.0843, 0.0805]"
39,"divulgar, esqueca, leia, natural, salva, remedio, ensinada, biblia, reza, oracao","[0.0992, 0.0821, 0.0807, 0.0798, 0.0796, 0.0673, 0.0622, 0.0611, 0.0592, 0.0578]"
40,"youtube, youtu, vivo, be, online, user, assista, vigilia, compartilhando, brasil","[0.0829, 0.0817, 0.0814, 0.0808, 0.0747, 0.0691, 0.0671, 0.0574, 0.0541, 0.0488]"
41,"professional, managing, tool, welcome, groups, telegram, user, mateus, davide, virtual","[0.2277, 0.2277, 0.2277, 0.2277, 0.2277, 0.1908, 0.0814, 0.0724, 0.0628, 0.0547]"
42,"empresa, lucro, quebrou, receberia, bendigo, arduo, prometido, sacrificar, euros, ganho","[0.1254, 0.0828, 0.082, 0.082, 0.082, 0.082, 0.0802, 0.0802, 0.0798, 0.0796]"
43,"bencaos, grupo, recentemente, salvadora, ganhei, privilegio, fato, juntar, ana, dinheiro","[0.0979, 0.0954, 0.0918, 0.0899, 0.0883, 0.0875, 0.0874, 0.0853, 0.0841, 0.0792]"
44,"nunes, senhor, exultarei, figueira, floresca, currais, habacuque, malhada, mantimento, alegrarei","[0.0359, 0.0341, 0.0323, 0.0323, 0.0323, 0.0323, 0.0323, 0.0323, 0.0323, 0.0323]"
45,"dizia, enviar, pacientemente, ganhos, esperando, admin, esperar, obrigado, enquanto, abencoe","[0.2736, 0.2652, 0.2636, 0.2577, 0.2363, 0.2363, 0.2212, 0.1859, 0.1697, 0.0936]"
46,"fiel, video, cleonice, serio, decisivamente, relevantes, enviado, pediu, temor, compreensao","[0.3655, 0.3345, 0.1968, 0.0917, 0.0778, 0.0701, 0.0562, 0.0548, 0.0535, 0.0498]"
47,"higiene, itens, caminhoneiros, embu, 11983308937, artes, regis, bitencourt, vaquinha, contribuir","[0.1866, 0.1841, 0.1417, 0.11, 0.11, 0.11, 0.11, 0.1086, 0.1086, 0.1029]"
48,"isis, ra, hell, nomes, abissais, cabalisticos, judaicos, abissal, vinte, 25","[0.1049, 0.1049, 0.1041, 0.0968, 0.0963, 0.0827, 0.0655, 0.0466, 0.0434, 0.0425]"
49,"empresa, dadiva, aprecio, loja, agradecer, abrir, fizeram, consegui, principalmente, desta","[0.2793, 0.1724, 0.1693, 0.1607, 0.1534, 0.1485, 0.1437, 0.1418, 0.1394, 0.1322]"
50,"cujo, oferta, feliz, nacao, alegria, doacao, doe, resolveu, senhor, obrigacao","[0.2338, 0.1386, 0.1385, 0.1261, 0.1195, 0.1039, 0.0825, 0.0752, 0.0718, 0.0682]"
51,"video, acredito, videos, cenas, fotos, indecisos, vi, repassem, violencia, mudancas","[0.1132, 0.0313, 0.0307, 0.0275, 0.0275, 0.0269, 0.0268, 0.0249, 0.0246, 0.0239]"
52,"iluda, mentimos, algoritmos, venceram, mesmos, fara, acabou, si, ninguem, youtu","[0.2594, 0.2573, 0.2552, 0.2533, 0.2105, 0.1998, 0.1902, 0.1659, 0.1367, 0.1193]"
53,"repitam, existe, comigo, nao, deus, , , , , ","[0.1654, 0.1584, 0.1543, 0.0565, 0.0429, 0.0, 0.0, 0.0, 0.0, 0.0]"
54,"israel, jaco, multidao, juda, esau, disse, jerusalem, senhor, dize, ouviu","[0.086, 0.0691, 0.0382, 0.0322, 0.0311, 0.0298, 0.029, 0.0261, 0.0239, 0.0233]"
55,"ativar, conectese, brazil, vicente, castilho, bot, feedback, comecar, ganhar, david","[0.1461, 0.1424, 0.1415, 0.1395, 0.1395, 0.1394, 0.1289, 0.1284, 0.1282, 0.1262]"
56,"ramiro, coronel, ita, acima, brasil, tudo, todos, deus, jair, fortes","[0.4211, 0.4168, 0.4064, 0.397, 0.1287, 0.1166, 0.1008, 0.0236, 0.0217, 0.0159]"
57,"santo, nada, pensamentos, ai, grandes, todopoderoso, pra, livrar, ti, longe","[0.07, 0.0455, 0.0392, 0.0387, 0.034, 0.0295, 0.029, 0.0272, 0.027, 0.0261]"
58,"managing, tool, welcome, professional, groups, telegram, user, jesus, gonzalez, souza","[0.3002, 0.3002, 0.3002, 0.3002, 0.3002, 0.2515, 0.1073, 0.089, 0.0606, 0.0459]"
59,"yeshua, passarao, pai, quer, dus, deg, eterno, diga, jejum, porta","[0.0348, 0.021, 0.0174, 0.0164, 0.0164, 0.0163, 0.0127, 0.0125, 0.0123, 0.0122]"
60,"envie, administrador, comecar, mensagem, silveira, pendentes, transacoes, user, paulista, funcionando","[0.0862, 0.0733, 0.0676, 0.0582, 0.057, 0.0562, 0.0562, 0.0558, 0.0555, 0.054]"
61,"censura, bruscamente, estrangulado, desmonetizacao, compartilhamento, rotina, conservadoras, midias, virou, vivendo","[0.1336, 0.0902, 0.0902, 0.0902, 0.0895, 0.0887, 0.0861, 0.0833, 0.0818, 0.0817]"
62,"foto, savior, jesus, my, voutara, amo, suspeito, 2030, preso, imagens","[0.5657, 0.2174, 0.1615, 0.1325, 0.125, 0.1096, 0.1027, 0.0917, 0.0904, 0.0808]"
63,"foto, wilkerson, david, valores, tempos, davi, romanticism, kaufer, hamburg, fim","[0.3155, 0.2056, 0.2051, 0.1359, 0.1111, 0.0997, 0.0946, 0.0946, 0.0946, 0.0935]"
64,"pressione, botao, escrever, minutos, abaixo, dentro, grupo, poder, david, davi","[0.4668, 0.4552, 0.4323, 0.4, 0.3332, 0.2978, 0.187, 0.1771, 0.0687, 0.0668]"
65,"faras, debaixo, exodo, deuses, idolo, enoque, herdarao, terra, aguas, teras","[0.0349, 0.034, 0.0331, 0.0325, 0.0316, 0.0316, 0.0312, 0.0289, 0.0289, 0.0287]"
66,"receber, acabei, gerenciamento, 15mil, artur, negociacao, abencoalo, contas, trata, posso","[0.1005, 0.0976, 0.0928, 0.0928, 0.0863, 0.0843, 0.0754, 0.0734, 0.0723, 0.0616]"
67,"espalhem, zapzap, flamengo, zap, bahia, usa, dese, macumbeira, pintinho, sinaisdoreino","[0.173, 0.1244, 0.083, 0.0723, 0.0637, 0.0546, 0.0484, 0.0484, 0.0484, 0.0484]"
68,"podcast, roubam, caras, falso, audio, bateuuuuu, divulgacao, milhao, percebi, descobri","[0.2619, 0.1386, 0.1355, 0.1042, 0.0947, 0.0799, 0.0696, 0.0616, 0.0599, 0.0578]"
69,"maria, jose, santissima, mae, providenciai, esquecais, salvai, livrando, estejais, neste","[0.0486, 0.042, 0.0417, 0.0388, 0.0283, 0.0283, 0.0283, 0.0278, 0.0274, 0.0269]"
