Tópico,Palavras,Pesos
0,"ewlgmatrzgg3otlh, sp, paulo, relate, digitando, chame, administradores, convite, envie, perceber","[0.047, 0.0423, 0.0353, 0.0307, 0.0307, 0.0306, 0.0305, 0.0304, 0.0303, 0.0303]"
1,"ewlgmatrzgg3otlh, sp, paulo, user, relate, digitando, chame, administradores, convite, envie","[0.0456, 0.0412, 0.0343, 0.0331, 0.0298, 0.0298, 0.0297, 0.0296, 0.0295, 0.0294]"
2,"bseuttfoo8c5ywfh, mg, minas, gerais, relate, digitando, chame, administradores, convite, envie","[0.0738, 0.0666, 0.0648, 0.0644, 0.0307, 0.0307, 0.0306, 0.0305, 0.0304, 0.0303]"
3,"presidente, gente, proteja, deus, vai, ta, orar, vamos, bolsonaro, pra","[0.0264, 0.01, 0.0087, 0.0082, 0.0079, 0.0078, 0.0069, 0.0067, 0.0059, 0.0058]"
4,"vc, pensou, inveja, deus, ganancia, vai, galera, rato, so, ta","[0.0203, 0.0167, 0.0158, 0.0128, 0.0121, 0.0114, 0.0112, 0.0109, 0.0099, 0.0098]"
5,"unido, alexeconomia, reino, truss, activetrades, fonte, banco, inflacao, liz, mercado","[0.0338, 0.0285, 0.0257, 0.0226, 0.0176, 0.0167, 0.0164, 0.0157, 0.0152, 0.0147]"
6,"ewzipdz42veynzjh, janeiro, rj, rio, user, relate, digitando, chame, administradores, convite","[0.0607, 0.051, 0.0508, 0.0451, 0.0334, 0.0299, 0.0299, 0.0298, 0.0297, 0.0296]"
7,"ewzipdz42veynzjh, janeiro, rj, rio, relate, digitando, chame, administradores, convite, envie","[0.063, 0.053, 0.0526, 0.0467, 0.0309, 0.0309, 0.0308, 0.0307, 0.0306, 0.0305]"
8,"votar, urnas, votos, voto, fraude, turno, emocao, vamos, segundo, comite","[0.0183, 0.0136, 0.0132, 0.0124, 0.0095, 0.0094, 0.0087, 0.0069, 0.0067, 0.0065]"
9,"igreja, igrejas, catolico, falsos, catolica, catolicos, verso, evangelicos, cristo, significa","[0.016, 0.0121, 0.0091, 0.0088, 0.0082, 0.0078, 0.0071, 0.007, 0.0069, 0.0064]"
10,"conservadores, conservadora, conservador, esquerda, militancia, fanatismo, conservadorismo, reservista, pautas, pcc","[0.0339, 0.024, 0.0223, 0.016, 0.0117, 0.0103, 0.01, 0.0084, 0.0082, 0.0077]"
11,"l987ddlsbjvkyzax, ce, ceara, relate, digitando, chame, administradores, convite, envie, perceber","[0.094, 0.0848, 0.0773, 0.0317, 0.0317, 0.0316, 0.0315, 0.0314, 0.0312, 0.0312]"
12,"comunista, comunismo, tambov, trabalhadores, camponeses, comunistas, sovietica, pcus, petrogrado, lenin","[0.021, 0.0185, 0.0129, 0.0127, 0.0126, 0.0121, 0.0112, 0.0084, 0.0084, 0.0083]"
13,"divulgue, votarao, baixaogratis, nenhum, verdade, compartilhe, abaixo, notoriedade, improprias, pronunciamentos","[0.038, 0.0371, 0.0371, 0.0321, 0.0295, 0.0292, 0.0289, 0.028, 0.028, 0.028]"
14,"bseuttfoo8c5ywfh, mg, minas, gerais, user, relate, digitando, convite, chame, administradores","[0.0712, 0.0638, 0.0625, 0.0621, 0.033, 0.0296, 0.0296, 0.0295, 0.0295, 0.0294]"
15,"youtube, assista, million, twitter, superacademicos, suponho, impossibilitada, www, incentivo, enviaram","[0.098, 0.088, 0.0785, 0.0268, 0.0265, 0.0265, 0.0262, 0.0252, 0.0246, 0.0239]"
16,"vamos, presidente, acima, brasil, documentos, ficai, brasileiro, tudo, vossa, anguera","[0.0123, 0.0119, 0.0115, 0.0106, 0.0082, 0.0081, 0.0077, 0.007, 0.0069, 0.0067]"
17,"vitoria, batalha, guerra, vencer, luta, creiam, decretada, batalhas, fe, creio","[0.0196, 0.0175, 0.0149, 0.0136, 0.0132, 0.0132, 0.0121, 0.0118, 0.0106, 0.0105]"
18,"ewzipdz42veynzjh, janeiro, rj, rio, relate, digitando, chame, administradores, convite, envie","[0.0624, 0.0529, 0.0528, 0.0465, 0.0306, 0.0306, 0.0305, 0.0304, 0.0303, 0.0301]"
19,"satanas, lucifer, luciferianismo, satanistas, satanismo, diabo, demonios, satanista, sata, demonio","[0.0328, 0.0235, 0.0192, 0.0178, 0.0144, 0.0125, 0.0111, 0.0108, 0.0104, 0.0095]"
20,"covid19, vacina, vacinas, covid, vacinacao, ly, dr, bit, vacinados, unido","[0.0263, 0.0245, 0.0234, 0.0146, 0.0145, 0.0142, 0.0141, 0.0141, 0.0136, 0.0109]"
