Tópico,Palavras,Pesos
0,"youtu, be, bomba, null, ar, uns, neymar, tb, kk, ","[0.0201, 0.0191, 0.0001, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"blocked, community, electoral, court, decision, following, was, superior, brazil, in","[0.0091, 0.0091, 0.0091, 0.0091, 0.0091, 0.0091, 0.0087, 0.0083, 0.0074, 0.007]"
2,"youtube, www, pega, visao, amo, , , , , ","[0.0478, 0.0322, 0.0003, 0.0002, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"instagram, www, comentem, refletir, reflita, assista, , , , ","[0.1071, 0.0322, 0.0006, 0.0004, 0.0004, 0.0001, 0.0, 0.0, 0.0, 0.0]"
4,"twitter, pjmedia, ze, , , , , , , ","[0.2108, 0.002, 0.0006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"youtube, amigo, fonte, nao, , , , , , ","[0.0954, 0.0002, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"presidente, pronunciamento, derrota, pronunciar, falou, falar, silencio, trump, atitude, confio","[0.0044, 0.0025, 0.0017, 0.0016, 0.0016, 0.0016, 0.0016, 0.0015, 0.0014, 0.0014]"
7,", , , , , , , , , ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"pressione, botao, escrever, minutos, dentro, abaixo, poder, grupo, patricia, willian","[0.0648, 0.063, 0.055, 0.0473, 0.032, 0.0256, 0.0178, 0.0059, 0.0022, 0.0019]"
9,"brasileiro, brasil, brasilia, brasileiros, aguentam, manilha, avante, morrer, desistir, selva","[0.003, 0.0028, 0.0028, 0.0024, 0.0019, 0.0017, 0.0016, 0.0015, 0.0014, 0.0014]"
10,"terrabrasilnoticias, huck, epica, invertida, absurdo, largara, processa, leclerc, estetico, pole","[0.236, 0.0083, 0.0075, 0.006, 0.005, 0.004, 0.0037, 0.0037, 0.0035, 0.0035]"
11,"rttdaily, tmjs, via, tmj, alvo, siga, tb, proximo, kk, tse","[0.4573, 0.2984, 0.2061, 0.1558, 0.0961, 0.0713, 0.0695, 0.0412, 0.032, 0.0136]"
