Tópico,Palavras,Pesos
0,"deus, nao, jesus, senhor, dia, nome, bom, todos, vida, vamos","[0.0354, 0.0285, 0.0216, 0.0199, 0.0173, 0.0142, 0.0138, 0.0133, 0.0132, 0.0131]"
1,"brasil, acima, todos, deus, nao, tudo, ifood, povo, card, gift","[0.0661, 0.0306, 0.025, 0.0245, 0.0204, 0.0204, 0.0199, 0.0192, 0.0191, 0.0189]"
2,"instagram, www, facebook, estadual, deputado, vote, 10700, edson, salomao, 1070","[0.2662, 0.2616, 0.1203, 0.0595, 0.0589, 0.0578, 0.0522, 0.051, 0.0447, 0.0368]"
3,"nunes, deixala, famosa, itapuca, hostilio, resende, 673, chirley, patricia, gesso","[0.4154, 0.2499, 0.249, 0.2449, 0.2449, 0.2449, 0.2449, 0.2449, 0.2439, 0.2439]"
4,"watch, fb, voltar, vai, jesus, noticia, depoimentos, nojo, falando, clicar","[0.3588, 0.3502, 0.3194, 0.2007, 0.1278, 0.086, 0.0739, 0.0631, 0.0622, 0.0581]"
5,"acabou, acredito, kwaivideo, acontecer, globo, pedido, titanic, concessao, renovacao, nao","[0.2809, 0.2437, 0.2096, 0.208, 0.1363, 0.1015, 0.0927, 0.0898, 0.0852, 0.0832]"
6,"voltar, be, youtu, vai, jesus, cola, copia, revelada, chego, la","[0.6496, 0.471, 0.471, 0.3229, 0.2817, 0.0472, 0.0472, 0.0434, 0.0434, 0.0409]"
7,"video, youtube, serio, gente, meesmooo, acorrdeemmm, gentee, sensato, videos, inscreva","[0.1359, 0.1201, 0.0896, 0.0723, 0.0588, 0.0588, 0.0588, 0.0566, 0.0563, 0.0548]"
8,"gloria, glorioso, madrugada, louvor, maravilhoso, honra, poderoso, santo, oracao, grandao","[0.137, 0.1283, 0.1265, 0.1228, 0.1179, 0.1152, 0.1056, 0.0936, 0.0774, 0.0752]"
9,"audio, escutem, voz, eh, ouca, amor, audios, ouviu, cid, narracas","[0.2298, 0.0668, 0.0657, 0.0589, 0.0583, 0.0579, 0.0567, 0.0511, 0.0498, 0.0498]"
10,"cenas, fotos, indecisos, violencia, ultimos, 100, repassem, verdadeira, vi, ajude","[0.2885, 0.2867, 0.2816, 0.28, 0.2674, 0.2615, 0.2522, 0.2503, 0.2427, 0.2381]"
11,"dunapress, org, continua, oracoes, audio, acima, escrita, retornaremos, permitindo, fechado","[0.2544, 0.2254, 0.2056, 0.1668, 0.1502, 0.131, 0.1236, 0.1236, 0.1143, 0.1143]"
12,"kwaivideo, video, assistir, acredito, acabou, acontecer, venha, kw, ai, nao","[0.4019, 0.2795, 0.2697, 0.2399, 0.235, 0.2175, 0.2053, 0.1524, 0.0778, 0.0774]"
13,"fake, news, aberta, santinhos, apreender, bombaa, promotor, apazdededeusatodos, operacao, redes","[0.1712, 0.1581, 0.1158, 0.1004, 0.1004, 0.1004, 0.1004, 0.1004, 0.0973, 0.0944]"
14,"salmos, paz, deitarei, dormirei, 91, repousar, sono, reparador, fazes, le","[0.2088, 0.1573, 0.1559, 0.1559, 0.1544, 0.1544, 0.1541, 0.1529, 0.1529, 0.1444]"
15,"terrabrasilnoticias, inflacao, unido, reino, maior, ron, florida, esmagadora, desantis, obtem","[0.3246, 0.3053, 0.2755, 0.2162, 0.1322, 0.1231, 0.1231, 0.1231, 0.1231, 0.1193]"
16,"ataca, armamento, poderaopovo, missa, bolsonarista, durante, padre, falar, video, favor","[0.328, 0.306, 0.2925, 0.2842, 0.2772, 0.2545, 0.2305, 0.2004, 0.1893, 0.1799]"
17,"tarcisio, paulo, governador, candidato, sao, hafisa, figueiro, suposta, recuperar, assassinato","[0.1727, 0.1663, 0.1359, 0.1345, 0.1133, 0.1121, 0.1121, 0.1121, 0.1087, 0.1058]"
18,"assado, promocao, mapara, ndeg3061, brasa, taxa, porcoes, fritos, assados, saborosos","[0.2696, 0.1581, 0.1527, 0.1527, 0.1527, 0.1527, 0.1527, 0.1527, 0.1527, 0.1527]"
19,"dias, levou, data, 15, persistencia, exito, bolivia, historica, conhecia, 64","[0.2753, 0.2197, 0.2134, 0.1955, 0.1369, 0.1302, 0.1302, 0.1302, 0.1289, 0.1289]"
20,"nunes, fudida, desculpas, falencia, divulgar, chorando, comprar, negocios, manda, 673","[0.2494, 0.1877, 0.1877, 0.1858, 0.1675, 0.1665, 0.1575, 0.1545, 0.1505, 0.147]"
