Tópico,Palavras,Pesos
0,"jesus, nome, cristo, amem, repreendido, ligo, clamor, senhor, creio, sangue","[0.0936, 0.0751, 0.0305, 0.0228, 0.0217, 0.0168, 0.0163, 0.0159, 0.0151, 0.0137]"
1,"senhor, jesus, vida, deus, cristo, coracao, voce, amor, espirito, pecado","[0.0229, 0.0134, 0.0118, 0.0114, 0.0111, 0.0103, 0.0102, 0.0102, 0.0097, 0.0093]"
2,"presidente, saberiamos, voltaria, deus, saberia, gente, bolsonaro, nao, vamos, pra","[0.0302, 0.0247, 0.0194, 0.0181, 0.0168, 0.0153, 0.0124, 0.0123, 0.0086, 0.0083]"
3,"bom, paz, dia, abencoe, deus, bencaos, abencoada, semana, boa, feliz","[0.0724, 0.0698, 0.0427, 0.0271, 0.026, 0.022, 0.0219, 0.0209, 0.0181, 0.017]"
4,"voto, votos, votar, fizemos, votamos, vamos, urnas, igual, errado, politicos","[0.0205, 0.0193, 0.0156, 0.0115, 0.0092, 0.0087, 0.0086, 0.008, 0.0079, 0.0067]"
5,"igreja, padres, pastores, igrejas, catolica, catolico, cristaos, evangelica, religiosos, pilintra","[0.0325, 0.0316, 0.0273, 0.0234, 0.0212, 0.0154, 0.0141, 0.012, 0.0112, 0.0106]"
6,"55, phone, gilson, souza, 31, 54, grupos, ton, soldador, master","[0.0622, 0.037, 0.0172, 0.0163, 0.0147, 0.0138, 0.0138, 0.0134, 0.0134, 0.0133]"
7,"sbt, audiencia, participar, estourar, espectadores, reunir, ola, sexta, puder, debate","[0.2149, 0.1485, 0.1312, 0.0966, 0.0949, 0.0925, 0.0866, 0.0848, 0.0724, 0.0706]"
8,"vc, ta, deus, kk, vai, cara, palavao, qwinks, fala, indignado","[0.0361, 0.0342, 0.0298, 0.0261, 0.0208, 0.0151, 0.0147, 0.0147, 0.014, 0.0119]"
9,"aperte, encaminhe, flow, unirmos, notificacoes, dobro, sininho, dantas, claudio, podcast","[0.0961, 0.0959, 0.0956, 0.0952, 0.0952, 0.0942, 0.0915, 0.0892, 0.089, 0.0878]"
10,"entendem, guerrilhas, acionadas, sofa, favelas, fronteiras, vai, ruas, abrir, comercio","[0.0363, 0.0307, 0.0225, 0.0222, 0.0217, 0.0217, 0.0206, 0.0206, 0.0203, 0.0201]"
11,"evangelho, palavra, jesus, aleluia, senhor, espirito, salvacao, lc, cristo, lucas","[0.0233, 0.0213, 0.0204, 0.0147, 0.0145, 0.0139, 0.0122, 0.012, 0.012, 0.0112]"
12,"vazado, fake, existe, xandao, vazada, news, 72h, verdade, quarteis, nao","[0.024, 0.0234, 0.0216, 0.0214, 0.0192, 0.0184, 0.0184, 0.0173, 0.0149, 0.0136]"
13,"jesus, senhor, nome, salva, deus, cremos, orar, nacao, pedimos, brasil","[0.0374, 0.0312, 0.0234, 0.0181, 0.0174, 0.0174, 0.0171, 0.017, 0.0169, 0.0168]"
14,"manifestacao, direito, subindo, manifestantes, caso, silencio, carros, passagem, advogado, pq","[0.0306, 0.0283, 0.0271, 0.0265, 0.0264, 0.0262, 0.0254, 0.0253, 0.0241, 0.0212]"
15,"tribunal, procurador, republica, penal, geral, decretolei, jurista, acao, ministros, constitucional","[0.0565, 0.0502, 0.0498, 0.0491, 0.0401, 0.0381, 0.0371, 0.0366, 0.0365, 0.0361]"
16,"fez, ferrovia, criou, defendeu, deu, coisas, voltar, combate, aumentou, construidas","[0.0305, 0.0304, 0.0208, 0.0202, 0.0193, 0.0187, 0.0171, 0.0165, 0.0163, 0.0163]"
17,"01, sempre, liberdade, metodos, robusta, brasileiros, cerceamento, rotulado, presidente, superamos","[0.0174, 0.0139, 0.0122, 0.0102, 0.0102, 0.0099, 0.0098, 0.0097, 0.0097, 0.0096]"
18,"dizer, bandeira, ordem, intervencao, alcoolica, bebida, regras, vincule, salvem, blusas","[0.0568, 0.0487, 0.0438, 0.0428, 0.0373, 0.0369, 0.0368, 0.0368, 0.0368, 0.0368]"
19,"pulo, obriguem, defendermos, desisti, descodifiquei, gato, contem, continuarei, continuem, vindas","[0.0631, 0.063, 0.063, 0.062, 0.0612, 0.0612, 0.061, 0.06, 0.0594, 0.0591]"
20,"mostrou, crime, silva, voce, degenerados, conveniencias, desmoralizante, voltada, acobertamento, perturbador","[0.0492, 0.0396, 0.0383, 0.0286, 0.0281, 0.0278, 0.0278, 0.0278, 0.0278, 0.0278]"
21,"tse, urnas, eleicoes, sr, vitoria, resultado, rede, acordado, confirmando, pt","[0.0255, 0.0238, 0.0232, 0.0214, 0.0195, 0.0192, 0.0177, 0.0175, 0.0174, 0.0171]"
22,"ti, ore, permita, oracao, anjos, calcadas, chacina, avenidas, clamamos, 24h","[0.0464, 0.0428, 0.0395, 0.0386, 0.0362, 0.0297, 0.0296, 0.0296, 0.0294, 0.0283]"
23,"vc, fiquem, voce, hino, vcs, estabelecimentos, sentemse, belem, joguem, pressionado","[0.0176, 0.0135, 0.012, 0.0116, 0.0113, 0.0109, 0.0098, 0.0097, 0.0096, 0.0095]"
24,"ciao, adeus, querida, bella, rosario, senhor, perdoa, santo, nacao, oracao","[0.0375, 0.0271, 0.0234, 0.0234, 0.023, 0.0214, 0.0189, 0.0165, 0.0153, 0.0149]"
25,"kwaivideo, assistir, acredito, be, youtu, venha, feliz, acontecer, acabou, deus","[0.2275, 0.0427, 0.0417, 0.0406, 0.0406, 0.0384, 0.0344, 0.0334, 0.0327, 0.0305]"
26,"sociedade, clube, militar, general, alertalos, viuse, brigada, poder, exercito, amigos","[0.0247, 0.0241, 0.0219, 0.0213, 0.0197, 0.0197, 0.0196, 0.0192, 0.0191, 0.0189]"
27,"divirtace, blogspot, festival, blues, fortaleza, canoa, cearense, ceara, black, musica","[0.0812, 0.0747, 0.0355, 0.0303, 0.0272, 0.0248, 0.0199, 0.0184, 0.016, 0.0149]"
28,"camelo, copo, lula, mosquito, prato, ratomor, pombas, lobos, interior, mateus","[0.0323, 0.0298, 0.0277, 0.0267, 0.026, 0.0255, 0.0211, 0.0209, 0.0203, 0.0185]"
29,"proibido, dizer, atencao, bandeira, intervencao, grite, cidadoes, ordem, orientar, juridico","[0.0436, 0.0332, 0.0207, 0.0197, 0.0182, 0.0179, 0.0173, 0.0171, 0.0171, 0.0168]"
30,"arruda, 000, ex, alexandre, us, bet365, software, mesarios, frota, roberto","[0.0276, 0.0256, 0.0234, 0.0208, 0.0206, 0.0197, 0.0195, 0.0194, 0.0189, 0.0189]"
31,"consorcio, antibrasil, prestarmos, desinforma, infiltra, leviata, menti, ardiloso, conquistarmos, desmascarado","[0.0525, 0.0328, 0.0314, 0.0314, 0.0314, 0.031, 0.031, 0.031, 0.031, 0.0306]"
32,"watch, fb, 22, cand, lulopetismo, bolsonaro, linha, 1x, lulapt, satanico","[0.0341, 0.034, 0.0294, 0.025, 0.0186, 0.0179, 0.0161, 0.0152, 0.0146, 0.0129]"
33,"familia, pais, deus, patria, aconteca, ilumine, queira, abencoe, misericordia, crianca","[0.0561, 0.0494, 0.0423, 0.0378, 0.0322, 0.0304, 0.0293, 0.028, 0.0191, 0.0186]"
34,"orar, vamos, deus, ajoelharmos, continuar, clamar, falarmos, fe, jejuar, mal","[0.1557, 0.053, 0.0336, 0.0248, 0.0234, 0.0232, 0.0208, 0.0192, 0.0169, 0.0163]"
