Tópico,Palavras,Pesos
0,"youtu, be, rom, exactly, mediacao, ar, banco, grave, lu, macho","[0.0365, 0.0365, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001]"
1,"watch, fb, 40mil, sosffaa, quarenta, limpo, marginais, belem, pm, passado","[0.1469, 0.1466, 0.0009, 0.0003, 0.0003, 0.0002, 0.0002, 0.0001, 0.0001, 0.0001]"
2,"instagram, www, art142cf, partiu, complicado, user, pode, , , ","[0.0794, 0.0329, 0.0006, 0.0005, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"facebook, www, empresarial, ipva, web, sobe, agosto, confianca, 2021, nivel","[0.1247, 0.0329, 0.0007, 0.0006, 0.0005, 0.0003, 0.0003, 0.0003, 0.0003, 0.0003]"
4,"twitter, kk, verdade, , , , , , , ","[0.4504, 0.0005, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"instagram, www, fanpage, enquete, facebook, , , , , ","[0.0794, 0.0329, 0.0012, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"youtube, 51, kk, twitter, video, , , , , ","[0.3031, 0.0004, 0.0003, 0.0002, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"paulista, live, youtu, be, atrombetanews, vivo, jandira, cutuca, exvereador, lindissimo","[0.0041, 0.004, 0.0037, 0.0037, 0.0033, 0.0028, 0.0027, 0.0025, 0.0024, 0.0023]"
8,"facebook, extra, edicao, , , , , , , ","[0.2497, 0.0009, 0.0007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"votar, vota, votou, votos, voto, votei, eleitores, eleitor, nulos, votam","[0.0093, 0.0069, 0.0052, 0.0051, 0.005, 0.0043, 0.0041, 0.004, 0.0036, 0.0036]"
10,"brasileiro, brasil, brasileiros, brasilia, ocde, zum, acorda, portugues, lutar, brasileira","[0.0046, 0.0037, 0.0032, 0.0032, 0.0026, 0.0025, 0.0024, 0.0023, 0.002, 0.002]"
11,"facebook, , , , , , , , , ","[0.2499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,"presidente, ta, presidencia, creio, pronunciar, calma, trump, falou, acho, manga","[0.0089, 0.0027, 0.0021, 0.002, 0.0019, 0.0019, 0.0018, 0.0017, 0.0017, 0.0016]"
13,", , , , , , , , , ","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,"instagram, comentar, blogismaelsousa, curtir, www, siga, perfil, blogdobarreto, sigam, pagina","[0.0213, 0.0096, 0.009, 0.0076, 0.0069, 0.0068, 0.0055, 0.0048, 0.0046, 0.0046]"
15,"video, videos, data, antigo, antigos, local, assistam, postar, surrado, despido","[0.0158, 0.0116, 0.0059, 0.0056, 0.0049, 0.0041, 0.0037, 0.0037, 0.0036, 0.0036]"
16,"pais, familia, filhos, netos, futuro, caviar, heranca, familias, pai, avos","[0.0104, 0.0071, 0.0064, 0.0048, 0.0041, 0.0033, 0.0033, 0.0031, 0.003, 0.0029]"
17,"igreja, catolicos, catolica, padres, catolico, pastores, igrejas, evangelicos, cristaos, bispos","[0.0182, 0.0123, 0.0108, 0.0106, 0.0087, 0.0086, 0.0086, 0.0084, 0.006, 0.0059]"
18,"venezuela, venezuelanos, cuba, venezuelano, maduro, venezuelanas, argentina, nicaragua, venezuelana, socialismo","[0.0218, 0.0148, 0.0106, 0.0099, 0.0079, 0.0076, 0.0062, 0.0058, 0.0053, 0.0049]"
19,"comunismo, comunista, socialismo, comunistas, petralhas, capitalismo, socialista, nazismo, demonios, prada","[0.0186, 0.0169, 0.0132, 0.0112, 0.0063, 0.0047, 0.0044, 0.0042, 0.0042, 0.004]"
20,"triste, deixa, kwaivideo, noticia, tremeu, xo, amada22, dedometro, crivados, ima","[0.2337, 0.1896, 0.1139, 0.1126, 0.0037, 0.0027, 0.0027, 0.0027, 0.0027, 0.0023]"
21,"muita, falando, kwaivideo, noticia, gente, sobre, covardao, desordeira, houvir, dece","[0.1033, 0.0968, 0.0788, 0.0773, 0.0355, 0.0295, 0.0018, 0.0018, 0.0017, 0.0016]"
22,"fake, news, fakenews, falsas, fakes, noticias, espalhando, cuidado, mentira, pleno","[0.0321, 0.0183, 0.0104, 0.006, 0.005, 0.005, 0.0047, 0.0042, 0.0041, 0.0041]"
23,"engracado, kwaivideo, video, acalentados, devastadores, tar, contradizendo, metralhar, clipes, inspirados","[0.4686, 0.1527, 0.0657, 0.004, 0.0037, 0.0035, 0.0035, 0.0033, 0.0031, 0.003]"
