Tópico,Palavras,Pesos
0,"nao, bolsonaro, brasil, vai, bandeira, voto, dizer, tudo, agora, povo","[0.03186195716261864, 0.019670408219099045, 0.017783325165510178, 0.011461596004664898, 0.0085763456299901, 0.008566414006054401, 0.008481991477310658, 0.008402535691857338, 0.00830321479588747, 0.00823369063436985]"
1,"r, 00, brasil, 1, 000, reais, 2, mil, 3, vai","[0.018361156806349754, 0.0148715665563941, 0.013689345680177212, 0.011618420481681824, 0.011015079915523529, 0.009767632931470871, 0.009278438054025173, 0.00880962610244751, 0.007892386056482792, 0.007798623293638229]"
2,"bolsonaro, 22, pl, t, voto, deputado, presidente, federal, governador, preso","[0.03824157640337944, 0.03344479948282242, 0.0241268090903759, 0.021493686363101006, 0.017253132537007332, 0.016814280301332474, 0.01669180952012539, 0.015375247225165367, 0.015043554827570915, 0.01221141591668129]"
3,"pt, nao, blogspot, divirtace, pag, item, todos, fortaleza, grupo, 160","[0.011020847596228123, 0.010390549898147583, 0.00904528796672821, 0.009012361988425255, 0.007662396412342787, 0.006199541501700878, 0.00606313394382596, 0.005235280375927687, 0.0052070580422878265, 0.005131798330694437]"
4,"fazendo, olha, gente, tao, covardia, pronuncie, franciscoooooooo, todos, vivo, internet","[0.0783952847123146, 0.07767971605062485, 0.0752679631114006, 0.0667605921626091, 0.05366825684905052, 0.05027591064572334, 0.05009039118885994, 0.005512828938663006, 0.005380315240472555, 0.0052478015422821045]"
5,"joao, saymon, homessexual, mestre, tic, tac, 98415, 3939, youtu, be","[0.3249436020851135, 0.28511425852775574, 0.2849905788898468, 0.0024126428179442883, 0.001670481520704925, 0.0016086348332464695, 0.0011138605186715722, 0.0011138605186715722, 0.0010520137147977948, 0.0009901670273393393]"
6,"13, pra, rua, chegar, onibus, bolsonaro, brasiliadf, pessoal, estao, cu","[0.4919428527355194, 0.07902409881353378, 0.0740387812256813, 0.01138551440089941, 0.00967433862388134, 0.009283598512411118, 0.009256650693714619, 0.007464631926268339, 0.007451158482581377, 0.00687178410589695]"
7,"janja, robo, deus, pereira, sao, bombeiro, protegida, cura, acaba, stuart","[0.43125665187835693, 0.42603185772895813, 0.01221969909965992, 0.011629803106188774, 0.006025789305567741, 0.0059415181167423725, 0.005899382755160332, 0.005899382755160332, 0.005857247393578291, 0.005857247393578291]"
8,"phone, 55, 20, 1, 91, 92, 127, 155, 111, 115","[0.22079117596149445, 0.17247040569782257, 0.04617031663656235, 0.024234194308519363, 0.016142910346388817, 0.010939748026430607, 0.008692799136042595, 0.006547983735799789, 0.004346427507698536, 0.004340753424912691]"
9,"r, milhoes, escandalo, caso, pt, 2018, 2016, dilma, lula, assassinato","[0.04116005077958107, 0.029888814315199852, 0.024663271382451057, 0.022355128079652786, 0.0192854143679142, 0.016262566670775414, 0.014891741797327995, 0.014001290313899517, 0.013743528164923191, 0.012735912576317787]"
