Tópico,Palavras,Pesos
0,"9999999, bocahomens, cagando, bosta, carae, vomitando, minja, r, mijando, boca","[0.9512278437614441, 0.0046555050648748875, 0.003491667564958334, 0.002715775743126869, 0.0023278300650417805, 0.00193988427054137, 0.0015519384760409594, 0.000838118139654398, 0.0006208684644661844, 0.0006208684644661844]"
1,"r, dia, anos, habitantes, g1, 5, votaram, 6, vai, 1","[0.023305729031562805, 0.01000175066292286, 0.007221681531518698, 0.006904213689267635, 0.00661048199981451, 0.0064710332080721855, 0.005874668247997761, 0.005429619923233986, 0.005210062954574823, 0.005055779591202736]"
2,"nao, brasil, porque, sao, governo, esquerda, pais, anos, maior, tse","[0.010895469225943089, 0.010502326302230358, 0.008800880052149296, 0.007058651186525822, 0.006508903577923775, 0.00640450045466423, 0.006060296203941107, 0.005880853161215782, 0.005875959061086178, 0.005825388710945845]"
3,"br, 2022, portaltocanews, sobre, www, dia, blogspot, divirtace, internet, federal","[0.013108265586197376, 0.007050744257867336, 0.006283720023930073, 0.005543738603591919, 0.005155310034751892, 0.005066807381808758, 0.004776714835315943, 0.004710338078439236, 0.0043833693489432335, 0.004353868309408426]"
4,"22222222, 11111111, 77777777, phidutheueaanguuephidutheueaanguue, robo, janja, www, youtube, youtu, mi","[0.51585853099823, 0.2178288698196411, 0.1619546264410019, 0.03482051193714142, 0.006478509400039911, 0.006478509400039911, 0.003306904574856162, 0.002902018604800105, 0.0014849184080958366, 0.0014511779882013798]"
5,"lula, dizer, proibido, tse, pt, stf, sobre, falar, l, urnas","[0.1450948715209961, 0.03413346782326698, 0.03294664993882179, 0.021962394937872887, 0.015292719006538391, 0.014501506462693214, 0.012795453891158104, 0.011472645215690136, 0.009630603715777397, 0.008239800110459328]"
6,"be, youtu, www, instagram, brasil, facebook, fb, watch, video, assista","[0.07751171290874481, 0.0774446576833725, 0.061383407562971115, 0.02978747896850109, 0.019822170957922935, 0.01830952614545822, 0.016881683841347694, 0.0168737955391407, 0.01551300659775734, 0.015225072391331196]"
7,"pl, deputado, bolsonaro, federal, senador, 22, governador, estadual, presidente, silva","[0.030727514997124672, 0.019501812756061554, 0.01755659095942974, 0.017209986224770546, 0.014097630977630615, 0.013842983171343803, 0.012810247018933296, 0.010702332481741905, 0.00908249244093895, 0.006847254931926727]"
8,"bocahomens, cagando, bosta, carae, vomitando, minja, li, 8l8l8l8l8l8l8l8l8l8l, boca, mijando","[0.13690246641635895, 0.10309872776269913, 0.08102946728467941, 0.06845133006572723, 0.0571003295481205, 0.045653458684682846, 0.03370806574821472, 0.03336293250322342, 0.021532582119107246, 0.021513408049941063]"
9,"joao, saymon, homessexual, revolta, nao, voce, 1930, revolucao, cruzeiro, pais","[0.07319675385951996, 0.06435955315828323, 0.06433162838220596, 0.015245363116264343, 0.013235004618763924, 0.00936785526573658, 0.009032795205712318, 0.0070922402665019035, 0.0063523161225020885, 0.005375058390200138]"
10,"gente, tao, olha, fazendo, covardia, pronuncie, franciscoooooooo, grupo, nao, pt","[0.065070241689682, 0.054973941296339035, 0.053035810589790344, 0.044216565787792206, 0.030514433979988098, 0.028501182794570923, 0.028396012261509895, 0.022581622004508972, 0.017398251220583916, 0.01274072751402855]"
11,"deus, nao, senhor, jesus, tudo, pais, brasil, todos, contra, tempo","[0.013704600743949413, 0.013637779280543327, 0.011662381701171398, 0.007976783439517021, 0.00633549178019166, 0.006089088972657919, 0.005483523476868868, 0.005406261421740055, 0.0049113682471215725, 0.00471716932952404]"
12,"nao, moraes, bolsonaro, alexandre, ja, lula, ate, so, contra, fraude","[0.016797004267573357, 0.015968112275004387, 0.015382172539830208, 0.012776405550539494, 0.010789924301207066, 0.010542210191488266, 0.009656153619289398, 0.008050772361457348, 0.007455304730683565, 0.007264755200594664]"
13,"nao, lula, eleicoes, todos, bolsonaro, 000, assim, brasil, urnas, pt","[0.013089589774608612, 0.009640163742005825, 0.008232980966567993, 0.008173586800694466, 0.007351207081228495, 0.007008548825979233, 0.0068714856170117855, 0.006496845744550228, 0.006496845744550228, 0.006396332755684853]"
14,"13, nao, pra, rua, voce, sim, concorda, bolsonaro, vai, brasil","[0.14085014164447784, 0.04664172977209091, 0.025219295173883438, 0.023624707013368607, 0.022645507007837296, 0.020303940400481224, 0.01457193959504366, 0.010047489777207375, 0.008487734943628311, 0.007272442802786827]"
15,"janja, robo, google, drive, paralisacao, video, pro, audio, sc, rs","[0.31621643900871277, 0.3103959560394287, 0.03717644140124321, 0.03379679471254349, 0.017086312174797058, 0.004068407695740461, 0.0035990122705698013, 0.0034425470512360334, 0.0031922028865665197, 0.0025037559680640697]"
16,"batalhao, av, sp, militar, rs, rua, centro, infantaria, comando, sao","[0.025325335562229156, 0.024253880605101585, 0.021881377324461937, 0.018312184140086174, 0.016934601590037346, 0.016809366643428802, 0.016371045261621475, 0.015042164362967014, 0.01500041875988245, 0.012113060802221298]"
17,"bolsonaro, br, whatsapp, www, 22, lula, presidente, grupo, chat, terrabrasilnoticias","[0.06341131031513214, 0.04371960833668709, 0.026389192789793015, 0.021247515454888344, 0.020172158256173134, 0.018970049917697906, 0.01821770891547203, 0.015543627552688122, 0.014652267098426819, 0.012223513796925545]"
18,"r, preso, milhoes, escandalo, caso, pt, 2018, lula, dilma, 2016","[0.03682770952582359, 0.02747187577188015, 0.026846852153539658, 0.022276360541582108, 0.019483281299471855, 0.016944119706749916, 0.013955721631646156, 0.0134869534522295, 0.012676374986767769, 0.012402926571667194]"
19,"presidente, nao, forcas, brasil, armadas, stf, povo, todos, poder, pt","[0.011656762100756168, 0.01085726823657751, 0.009850271977484226, 0.00921759381890297, 0.00868052989244461, 0.008550331927835941, 0.00839165411889553, 0.007937997579574585, 0.007899344898760319, 0.007250392343848944]"
20,"gazetabrasil, t, nao, bolsonaro, estados, 48, 51, rio, pesquisa, 50","[0.019811969250440598, 0.012646529823541641, 0.01106121577322483, 0.01083602849394083, 0.00908407662063837, 0.00907506886869669, 0.007877076044678688, 0.007719445042312145, 0.0072960942052304745, 0.007246552966535091]"
21,"phone, 55, 20, 1, 91, 92, 127, 155, 115, 111","[0.24493081867694855, 0.1909927874803543, 0.05100448057055473, 0.026836872100830078, 0.017916450276970863, 0.012231806293129921, 0.00973887275904417, 0.0072648245841264725, 0.0048789107240736485, 0.004853729624301195]"
22,"nao, pra, vai, vamos, so, ja, povo, bolsonaro, todos, voce","[0.06237649545073509, 0.015707606449723244, 0.013739075511693954, 0.013233877718448639, 0.012422850355505943, 0.010732081718742847, 0.010218174196779728, 0.008911626413464546, 0.008648381568491459, 0.008566117845475674]"
23,"brasil, 1, reais, 00, 4, 3, 2, 5, 10, fez","[0.01661551184952259, 0.013657722622156143, 0.01112022902816534, 0.010963109321892262, 0.010625299997627735, 0.010593876242637634, 0.010464251972734928, 0.010259995236992836, 0.009411545470356941, 0.008951968513429165]"
