Tópico,Palavras,Pesos
0,"nao, porque, pode, ja, mim, fe, filhos, aqui, ajudar, pra","[0.041497036814689636, 0.026661692187190056, 0.015158925205469131, 0.015051422640681267, 0.014943920075893402, 0.012901374138891697, 0.012471363879740238, 0.010966328904032707, 0.010321314446628094, 0.00978380162268877]"
1,"r, 00, ifood, card, gift, paga, melhor, 11, 100, dias","[0.039149656891822815, 0.030450239777565002, 0.02404014766216278, 0.022895487025380135, 0.022437622770667076, 0.02060616761445999, 0.01740111969411373, 0.011906751431524754, 0.010762091726064682, 0.010304227471351624]"
2,"dias, deus, dia, ate, feliz, compartilhe, patriotas, hoje, nao, familia","[0.031287334859371185, 0.028668051585555077, 0.01979159191250801, 0.016153700649738312, 0.014407511800527573, 0.013097870163619518, 0.012515807524323463, 0.011933743953704834, 0.009896524250507355, 0.00960549246519804]"
3,"deus, dia, nao, bom, amor, vida, palavra, coracao, terra, contra","[0.09615261107683182, 0.03872246667742729, 0.03524184972047806, 0.03219631314277649, 0.020014159381389618, 0.015414773486554623, 0.01336369663476944, 0.013239389285445213, 0.0130529273301363, 0.010939696803689003]"
4,"brasil, boa, q, ta, ai, sao, pra, noite, maior, fazendo","[0.029794322326779366, 0.020525388419628143, 0.020525388419628143, 0.017347469925880432, 0.017215056344866753, 0.016023337841033936, 0.012580590322613716, 0.011388870887458324, 0.010594390332698822, 0.009799910709261894]"
5,"voce, mundo, igreja, homem, sao, la, 1, porque, disse, 3","[0.023294907063245773, 0.02018904872238636, 0.01863611862063408, 0.01553026121109724, 0.012909693643450737, 0.012618519365787506, 0.011259706690907478, 0.011065591126680374, 0.008930313400924206, 0.008250907063484192]"
6,"deus, nao, todos, tudo, brasil, fazer, pois, abencoe, vc, sera","[0.08065818250179291, 0.053437940776348114, 0.03905870020389557, 0.03397580608725548, 0.015918154269456863, 0.01578439399600029, 0.015115591697394848, 0.013176065869629383, 0.012707904912531376, 0.011972222477197647]"
7,"nunes, deus, rj, vamos, proprietaria, nivel, famosa, deixala, r, endereco","[0.03818253427743912, 0.030214698985219002, 0.024238822981715202, 0.023906828835606575, 0.02158287726342678, 0.020918888971209526, 0.019590916112065315, 0.019258923828601837, 0.019258923828601837, 0.019258923828601837]"
8,"deus, acima, gloria, todos, tudo, poderoso, oracao, senhor, santo, honra","[0.05677945539355278, 0.0430961437523365, 0.03601856529712677, 0.03224385902285576, 0.031457461416721344, 0.021548856049776077, 0.020447900518774986, 0.019189665094017982, 0.01793142966926098, 0.015257679857313633]"
9,"deus, nao, vamos, pra, vai, so, voce, povo, estao, bem","[0.07846400141716003, 0.05079706013202667, 0.02313011698424816, 0.02158076874911785, 0.019367413595318794, 0.018260736018419266, 0.01776272989809513, 0.01593671180307865, 0.014940702356398106, 0.014885368756949902]"
10,"jesus, senhor, nome, amem, pai, cristo, vida, oracao, toda, todo","[0.08036249130964279, 0.07071318477392197, 0.037419408559799194, 0.030716456472873688, 0.02622327022254467, 0.026149611920118332, 0.02069886028766632, 0.018636412918567657, 0.013553955592215061, 0.011933461762964725]"
11,"deus, jesus, vamos, vai, youtu, be, senhor, www, fe, grupo","[0.042894478887319565, 0.025541264563798904, 0.02447337470948696, 0.024384383112192154, 0.020379794761538506, 0.020023830235004425, 0.01584126055240631, 0.015396306291222572, 0.013794471509754658, 0.012815571390092373]"
