Tópico,Palavras,Pesos
0,"jesus, nome, amem, senhor, oracao, todo, pai, cada, sao, vivo","[0.10868803411722183, 0.06642112135887146, 0.06608566641807556, 0.04008815810084343, 0.034217752516269684, 0.02448965236544609, 0.022812392562627792, 0.020967410877346992, 0.017277441918849945, 0.017109714448451996]"
1,"general, outros, proximo, casa, ja, imagens, criancas, vez, outras, vive","[0.020568866282701492, 0.013285577297210693, 0.012857148423790932, 0.01242871955037117, 0.01242871955037117, 0.010715004056692123, 0.009001289494335651, 0.009001289494335651, 0.007716002874076366, 0.0064307162538170815]"
2,"vai, deus, ja, pais, agora, ruas, so, pessoa, ver, todas","[0.033843111246824265, 0.028368758037686348, 0.02455330081284046, 0.020571954548358917, 0.018249502405524254, 0.017254164442420006, 0.014599933288991451, 0.014102265238761902, 0.01377048622816801, 0.013604596257209778]"
3,"jesus, deus, nome, terra, sobre, assim, vc, misericordia, outros, toda","[0.053561918437480927, 0.036462124437093735, 0.028548171743750572, 0.019644973799586296, 0.018373088911175728, 0.01794912852346897, 0.017666487023234367, 0.0165359228849411, 0.015264037065207958, 0.013850831426680088]"
4,"porque, dia, deus, palavra, fe, cristo, 6, sao, igreja, 8","[0.040618617087602615, 0.03922867774963379, 0.026873674243688583, 0.02239498682320118, 0.021777234971523285, 0.020850609987974167, 0.01776186190545559, 0.01729854941368103, 0.016680797562003136, 0.016371922567486763]"
5,"deus, nao, amor, so, tudo, verdade, vida, gente, porque, coracao","[0.1451767534017563, 0.09727941453456879, 0.03446052968502045, 0.021352650597691536, 0.020610693842172623, 0.01838482730090618, 0.017313115298748016, 0.01541700679808855, 0.014015535824000835, 0.012531625106930733]"
6,"senhor, voce, paz, tambem, pois, salmos, cristo, diz, entao, jesus","[0.08845687657594681, 0.03555895760655403, 0.03328189626336098, 0.026100389659404755, 0.02522459626197815, 0.02032015658915043, 0.019969837740063667, 0.018218252807855606, 0.016816982999444008, 0.016641823574900627]"
7,"deus, tudo, nao, certo, frente, acontecer, dar, kwaivideo, quarteis, tarde","[0.09171074628829956, 0.0848521813750267, 0.05330279469490051, 0.03017963469028473, 0.029199840500950813, 0.01881401799619198, 0.018618058413267136, 0.0182261411100626, 0.014894839376211166, 0.01293525006622076]"
8,"t, www, br, grupo, whatsapp, preso, unidade, manter, meio, pais","[0.027916226536035538, 0.023485783487558365, 0.019055338576436043, 0.015510983765125275, 0.012852718122303486, 0.009308363310992718, 0.00886531826108694, 0.00886531826108694, 0.00886531826108694, 0.007979230023920536]"
9,"deus, brasil, vamos, todos, vai, acima, povo, abencoe, nacao, misericordia","[0.13656899333000183, 0.05281725153326988, 0.050721362233161926, 0.04988300800323486, 0.03529561683535576, 0.026492880657315254, 0.026325209066271782, 0.023307129740715027, 0.018612336367368698, 0.014923570677638054]"
