Tópico,Palavras,Pesos
0,"turno, bolsonaro, brasil, presidente, todos, cada, primeiro, milhoes, anos, tambem","[0.030319292098283768, 0.02243352308869362, 0.018376987427473068, 0.015334583818912506, 0.013883322477340698, 0.013795897364616394, 0.01286918856203556, 0.010298882611095905, 0.009791815653443336, 0.00952953938394785]"
1,"phone, 55, 20, 1, 91, 92, 127, 155, 128, 111","[0.24295909702777863, 0.1141616702079773, 0.0774897113442421, 0.03681734949350357, 0.025765394791960716, 0.018413566052913666, 0.014819986186921597, 0.011090798303484917, 0.00740035530179739, 0.007390669081360102]"
2,"porque, entenderam, nao, esquerda, militar, anos, poder, agora, general, pais","[0.04009659215807915, 0.0364493690431118, 0.018051672726869583, 0.013688855804502964, 0.012950178235769272, 0.011657491326332092, 0.01027247030287981, 0.009718461893498898, 0.009049035608768463, 0.008587361313402653]"
3,"nao, voce, oracao, tambem, pois, 1, sim, vai, deus, 2","[0.04309246689081192, 0.01359841600060463, 0.011611447669565678, 0.009934943169355392, 0.009438201785087585, 0.009241574443876743, 0.008330880664288998, 0.007078676950186491, 0.0070372819900512695, 0.0070372819900512695]"
4,"eleicoes, lula, urnas, sr, 00, alexandre, nao, assim, pt, vitoria","[0.016134321689605713, 0.013457913883030415, 0.011362235993146896, 0.010440642945468426, 0.010377519764006138, 0.009998783469200134, 0.008950944058597088, 0.008799449540674686, 0.008635330013930798, 0.00852170865982771]"
5,"55, phone, grupos, souza, silva, grupo, gilson, 1, 54, 14","[0.24683316051959991, 0.18240639567375183, 0.007644683588296175, 0.005832340102642775, 0.005750580225139856, 0.00573695357888937, 0.005723326932638884, 0.005696073640137911, 0.0055734338238835335, 0.005559807177633047]"
6,"lula, be, youtu, brasil, diz, pt, defende, deus, vamos, presidente","[0.08026772737503052, 0.05697683244943619, 0.056904543191194534, 0.027281293645501137, 0.0176381953060627, 0.016452686861157417, 0.011840770952403545, 0.011161272414028645, 0.010395028628408909, 0.010207082144916058]"
7,"nao, todos, direito, brasileiros, manifestacao, manifestacoes, repassem, bolsonaro, sao, pode","[0.07456554472446442, 0.01305342186242342, 0.009689025580883026, 0.00961682852357626, 0.009400236420333385, 0.009198084473609924, 0.008707142435014248, 0.008577187545597553, 0.008375034667551517, 0.008375034667551517]"
8,"nao, bolsonaro, vai, brasil, dizer, agora, tudo, intervencao, acima, lula","[0.034898847341537476, 0.03222673386335373, 0.0278154406696558, 0.02734321355819702, 0.014040231704711914, 0.013360685668885708, 0.01273872796446085, 0.012001593597233295, 0.011068657040596008, 0.010953479446470737]"
9,"sao, federal, whatsapp, pais, nacional, nao, policia, estado, saude, 2","[0.014127623289823532, 0.01193374115973711, 0.011766055598855019, 0.01017304603010416, 0.00916693452745676, 0.007923268713057041, 0.007797504309564829, 0.006400127429515123, 0.0061346255242824554, 0.0058830976486206055]"
10,"estados, 60, 69, df, bolsonaro, 61, povo, 67, 25, 71","[0.038027551025152206, 0.02049868553876877, 0.019114825874567032, 0.017702138051390648, 0.016952548176050186, 0.015251556411385536, 0.014992083422839642, 0.014473136514425278, 0.014184832572937012, 0.014156002551317215]"
11,"dia, 2022, 0, brasil, diz, 5, contra, sobre, noticias, apos","[0.02091008797287941, 0.009335205890238285, 0.008165181614458561, 0.007354521658271551, 0.007346164435148239, 0.007053658366203308, 0.0066023631952703, 0.006543862167745829, 0.006418502423912287, 0.006159425713121891]"
12,"pl, deputado, governador, senador, federal, 22, estadual, republicanos, ptb, 222","[0.07564017921686172, 0.022472625598311424, 0.019398227334022522, 0.018056228756904602, 0.014054632745683193, 0.012810233980417252, 0.012785833328962326, 0.012541834264993668, 0.011053435504436493, 0.010419035330414772]"
13,"republica, senadores, tribunal, stf, ministros, brasil, ate, ja, geral, acao","[0.012793021276593208, 0.011983570642769337, 0.011526054702699184, 0.011209312826395035, 0.011103732511401176, 0.009185685776174068, 0.009168088436126709, 0.00849941186606884, 0.008165073581039906, 0.007953912019729614]"
14,"deus, senhor, jesus, dia, nao, nome, cristo, pai, vida, amor","[0.059557151049375534, 0.028548261150717735, 0.025504950433969498, 0.012036234140396118, 0.011638684198260307, 0.01093954499810934, 0.010034776292741299, 0.009589245542883873, 0.008869543671607971, 0.008609079755842686]"
15,"brasil, fez, divirtace, blogspot, ferrovia, br, 00, deu, coisas, familia","[0.02004704438149929, 0.01650339737534523, 0.011706817895174026, 0.011010744608938694, 0.00941610336303711, 0.008542846888303757, 0.008530191145837307, 0.008353008888661861, 0.007479753345251083, 0.006745711900293827]"
16,"nao, pra, pais, deus, sao, vai, dia, brasil, todos, voce","[0.022797442972660065, 0.0179208405315876, 0.01215418428182602, 0.011241691187024117, 0.00913996435701847, 0.009132484905421734, 0.008721115067601204, 0.008698676712810993, 0.008564046584069729, 0.008332183584570885]"
17,"www, 1, 203, bolsonaro, youtube, brasil, instagram, nantes, 10, facebook","[0.026843713596463203, 0.02639767713844776, 0.020153161138296127, 0.017314745113253593, 0.010624192655086517, 0.009894313290715218, 0.008029067888855934, 0.005961079150438309, 0.005961079150438309, 0.005798884201794863]"
18,"nao, lula, bolsonaro, ja, voce, brasil, sao, disse, estao, gente","[0.04189047962427139, 0.013323241844773293, 0.010882426053285599, 0.009463757276535034, 0.009410887956619263, 0.008688335306942463, 0.007595696020871401, 0.0065383026376366615, 0.006432563532143831, 0.006027229130268097]"
19,"nunca, ate, pessoas, qualquer, sempre, contra, nao, user, esquerda, apenas","[0.008253621868789196, 0.007674665655940771, 0.0073111350648105145, 0.006920676678419113, 0.006139759439975023, 0.006112831179052591, 0.0058031571097671986, 0.005668516270816326, 0.00565505214035511, 0.005412698723375797]"
20,"g1, mc, anos, r, jrmunews, ebc, sao, voce, lendo, cnn","[0.032861120998859406, 0.024687590077519417, 0.023075124248862267, 0.022296691313385963, 0.019368305802345276, 0.018793750554323196, 0.013733943924307823, 0.012658966705203056, 0.01210294384509325, 0.01169519405812025]"
21,"bolsonaro, 22, google, drive, fb, watch, contra, povo, cand, pra","[0.03314536437392235, 0.02645275555551052, 0.020219270139932632, 0.017588138580322266, 0.010595334693789482, 0.010348114185035229, 0.008105472661554813, 0.0074167875573039055, 0.0074167875573039055, 0.007187225855886936]"
