Tópico,Palavras,Pesos
0,"porque, nao, entenderam, agora, esquerda, anos, pais, brasil, historia, tudo","[0.03330417349934578, 0.019039999693632126, 0.01657341979444027, 0.014295769855380058, 0.012186056934297085, 0.011451330967247486, 0.007599269039928913, 0.007578276563435793, 0.00551054859533906, 0.00545806810259819]"
1,"phone, 55, 20, 1, 91, 92, 127, 155, 111, 128","[0.24288436770439148, 0.11413682252168655, 0.07734350860118866, 0.03681277483701706, 0.025794144719839096, 0.018435481935739517, 0.014804563485085964, 0.01106713805347681, 0.0074555836617946625, 0.0074168541468679905]"
2,"brasil, fez, ferrovia, deu, br, 00, coisas, brasileiros, familia, agua","[0.020737720653414726, 0.018374891951680183, 0.009350895881652832, 0.009212644770741463, 0.008621937595307827, 0.008571664802730083, 0.008056366816163063, 0.0073399776592850685, 0.0073022725991904736, 0.007113749161362648]"
3,"55, phone, grupos, souza, gilson, silva, grupo, 1, 31, 14","[0.24661454558372498, 0.1825544387102127, 0.00762471929192543, 0.005745803937315941, 0.005745803937315941, 0.005745803937315941, 0.005718573462218046, 0.0056777275167405605, 0.005596035625785589, 0.005582420155405998]"
4,"bolsonaro, lula, eleicoes, urnas, brasil, 00, nao, alexandre, pt, tse","[0.0151362931355834, 0.01496273372322321, 0.014935329556465149, 0.012258862145245075, 0.01125404518097639, 0.01007566787302494, 0.00998432096093893, 0.009728549979627132, 0.009701145812869072, 0.009107389487326145]"
5,"nao, brasil, bolsonaro, vai, acima, agora, tudo, todos, dizer, lula","[0.03894883394241333, 0.026505472138524055, 0.02307504042983055, 0.022431258112192154, 0.018265075981616974, 0.01432881597429514, 0.014062106609344482, 0.011266258545219898, 0.010999549180269241, 0.010824808850884438]"
6,"pl, deputado, governador, senador, federal, arruda, republicanos, estadual, 22, ptb","[0.0641402006149292, 0.022624434903264046, 0.01611297018826008, 0.01549085695296526, 0.014080730266869068, 0.011156792752444744, 0.010721312835812569, 0.010244358330965042, 0.010182146914303303, 0.00939413532614708]"
7,"nao, voce, direito, ja, todos, pode, bolsonaro, manifestacao, pais, falar","[0.056820668280124664, 0.013111604377627373, 0.01014974806457758, 0.009901894256472588, 0.009344222955405712, 0.009121154434978962, 0.007596851326525211, 0.0071878922171890736, 0.0069276452995836735, 0.006593042518943548]"
8,"dia, r, sao, 5, anos, 0, apos, contra, noticias, policia","[0.01522777322679758, 0.012075304985046387, 0.007712239865213633, 0.007189901079982519, 0.006784320343285799, 0.006003884598612785, 0.005586013663560152, 0.005192723590880632, 0.004971497692167759, 0.004762561991810799]"
9,"lula, youtu, be, brasil, pt, diz, vai, defende, pobre, sobre","[0.123603455722332, 0.07709374278783798, 0.07707453519105911, 0.03469517081975937, 0.02889346517622471, 0.028739776462316513, 0.016713719815015793, 0.013371014967560768, 0.012160724960267544, 0.011507553048431873]"
10,"nao, povo, ja, sao, todos, contra, ter, antes, sempre, ainda","[0.027416488155722618, 0.01479866448789835, 0.009416032582521439, 0.007417602930217981, 0.007067512720823288, 0.006914348341524601, 0.006914348341524601, 0.006491323001682758, 0.005543163046240807, 0.005353530868887901]"
11,"estados, bolsonaro, 60, 69, df, rio, 61, g, 18, 67","[0.026914702728390694, 0.01970396563410759, 0.01431687455624342, 0.01414918340742588, 0.01308014988899231, 0.011969193816184998, 0.011780540458858013, 0.011277466081082821, 0.0107953529804945, 0.010669584386050701]"
12,"deus, nao, senhor, jesus, presidente, tudo, todos, vamos, pra, nome","[0.05718984454870224, 0.0221068374812603, 0.018363701179623604, 0.016657007858157158, 0.013609024696052074, 0.01118935365229845, 0.011091318912804127, 0.009602976031601429, 0.009308872744441032, 0.008702840656042099]"
13,"g1, mc, anos, jrmunews, ebc, r, voce, lendo, cnn, tribunal","[0.025334272533655167, 0.01903288997709751, 0.015403523109853268, 0.014931990765035152, 0.014489036053419113, 0.011659843847155571, 0.010902535170316696, 0.009373628534376621, 0.008987829089164734, 0.00887351855635643]"
14,"nao, voce, deus, dia, brasil, pode, vida, sera, pois, sobre","[0.032040514051914215, 0.011695919558405876, 0.010233936831355095, 0.009885845705866814, 0.009425293654203415, 0.008434572257101536, 0.008332822471857071, 0.0075134695507586, 0.00681728683412075, 0.006656629499047995]"
15,"bolsonaro, 22, nao, pra, video, todos, facebook, pais, brasil, m","[0.017463190481066704, 0.013313539326190948, 0.011969618499279022, 0.0112072778865695, 0.008605887182056904, 0.008440844714641571, 0.00804788526147604, 0.006735401228070259, 0.0062481313943862915, 0.006224554032087326]"
16,"google, drive, blogspot, divirtace, 10, 2, projeto, fortaleza, federal, user","[0.02086811326444149, 0.016994832083582878, 0.01680714078247547, 0.015783365815877914, 0.0067400215193629265, 0.0061940080486238, 0.0056650578044354916, 0.004555968567728996, 0.004317087586969137, 0.004163521341979504]"
17,"1, brasil, www, bolsonaro, br, youtube, ministerio, presidente, 203, 2022","[0.015438584610819817, 0.014345341362059116, 0.010476212948560715, 0.00849886890500784, 0.008147130720317364, 0.007605262100696564, 0.005608906038105488, 0.0048103635199368, 0.00477233761921525, 0.0046677663922309875]"
