Tópico,Palavras,Pesos
0,"joao, saymon, homessexual, gente, olha, tao, fazendo, habitantes, votaram, covardia","[0.038893211632966995, 0.03324638679623604, 0.033231962472200394, 0.020135367289185524, 0.01741652563214302, 0.017257867380976677, 0.017221808433532715, 0.01688285358250141, 0.014654412865638733, 0.014546236023306847]"
1,"br, brasil, r, voce, anos, dia, sim, 5, sao, gazetabrasil","[0.011415074579417706, 0.008373264223337173, 0.00789844524115324, 0.00597405806183815, 0.005896443501114845, 0.005468421615660191, 0.005431897006928921, 0.0052116080187261105, 0.005160245578736067, 0.005020995624363422]"
2,"bolsonaro, 22, pl, lula, r, voto, federal, deputado, milhoes, presidente","[0.027796003967523575, 0.02033202536404133, 0.012121126987040043, 0.011211716569960117, 0.010582730174064636, 0.009909190237522125, 0.009107232093811035, 0.008868740871548653, 0.008750805631279945, 0.00871935673058033]"
3,"nao, voce, vai, 13, reais, grupo, r, 000, pix, ate","[0.018976381048560143, 0.008612604811787605, 0.008131471462547779, 0.0065745143219828606, 0.006266708951443434, 0.006227859761565924, 0.006081427913159132, 0.005970857106149197, 0.005899135489016771, 0.005890170112252235]"
4,"lula, pra, janja, robo, nao, rua, porque, brasil, bolsonaro, pt","[0.04394540190696716, 0.019579418003559113, 0.017827799543738365, 0.017461631447076797, 0.011541335843503475, 0.011240304447710514, 0.007203659508377314, 0.0064255534671247005, 0.0059766462072730064, 0.0058710211887955666]"
5,"bocahomens, cagando, bosta, carae, vomitando, minja, carlinhos, boca, mijando, 19","[0.14261911809444427, 0.1079995185136795, 0.08422970026731491, 0.0713096559047699, 0.05948225408792496, 0.04755900427699089, 0.025035182014107704, 0.0226006917655468, 0.022236475721001625, 0.017578357830643654]"
6,"13, nao, lula, bolsonaro, dizer, proibido, intervencao, federal, ate, ja","[0.059066224843263626, 0.029657289385795593, 0.015123452059924603, 0.013467848300933838, 0.010298549197614193, 0.009403171017765999, 0.007115734741091728, 0.006843742914497852, 0.006642705295234919, 0.006517690606415272]"
7,"nao, br, whatsapp, www, deus, bolsonaro, voce, dia, chat, grupo","[0.01866263709962368, 0.015030902810394764, 0.01053886953741312, 0.009188422933220863, 0.008659734390676022, 0.00755945174023509, 0.006289727054536343, 0.006013383623212576, 0.0056395926512777805, 0.005061453673988581]"
8,"9999999, 22222222, 11111111, 77777777, phidutheueaanguuephidutheueaanguue, www, youtu, be, robo, janja","[0.6703009009361267, 0.16718436777591705, 0.07059606909751892, 0.0524878092110157, 0.011284965090453625, 0.0016184800770133734, 0.0014325862284749746, 0.0014216512208804488, 0.0010498634073883295, 0.0010498634073883295]"
9,"nao, be, youtu, www, brasil, bolsonaro, vamos, instagram, vai, lula","[0.027500616386532784, 0.020917069166898727, 0.02081744745373726, 0.017179276794195175, 0.01373977866023779, 0.012782844714820385, 0.010174473747611046, 0.008762127719819546, 0.008708047680556774, 0.007459081243723631]"
10,"phone, 55, 20, 1, 91, 92, 127, 155, 111, 128","[0.21737831830978394, 0.1692056506872177, 0.04522733762860298, 0.023963887244462967, 0.015946250408887863, 0.010957496240735054, 0.008624586276710033, 0.006519955582916737, 0.004560088273137808, 0.004432028625160456]"
11,"sp, batalhao, av, militar, centro, rs, comando, rua, infantaria, sao","[0.020585957914590836, 0.01937752775847912, 0.018744032829999924, 0.01581611856818199, 0.015182623639702797, 0.01358557865023613, 0.012430382892489433, 0.012297295965254307, 0.011509421281516552, 0.010790751315653324]"
